Županija,Sjedište,Površina (km2),Stanovništvo
Dubrovačko-neretvanska,Dubrovnik,1.783,122.783
Šibensko-kninska,Šibenik,2.939,109.320
Splitsko-dalmatinska,Split,4.534,455.242
Zadarska,Zadar,3.642,170.398
Krapinsko-zagorska,Krapina,1.224,133.064
Karlovačka,Karlovac,3.622,128.749
Ličko-senjska,Gospić,5.350,51.022
Primorsko-goranska,Rijeka,3.582,310.195
Sisačko-moslavačka,Sisak,4.463,172.977
Zagrebačka,Zagreb,3.078,317.642
Grad Zagreb,Zagreb,641,792.875
Istarska,Pazin,2.820,208.440
Brodsko-posavska,Slavonski Brod,2.043,158.559
Osječko-baranjska,Osijek,4.152,304.899
Požeško-slavonska,Požega,1.845,78.031
Vukovarsko-srijemska,Vukovar,2.448,180.117
Virovitičko-podravska,Virovitica,2.068,84.586
Bjelovarsko-bilogorska,Bjelovar,2.652,119.743
Koprivničko-križevačka,Koprivnica,1.746,115.582
Međimurska,Čakovec,730,114.414
Varaždinska,Varaždin,1.261,176.046